instrument_id,exchange,segment,security_type,angel_token,angel_symbol,base_symbol,yahoo_symbol,validation_status,last_validated,is_active,data_source,remarks
EQ_NSE_VBL,NSE,CASH,EQUITY,18921,VBL-EQ,VBL,VBL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MFSL,NSE,CASH,EQUITY,2142,MFSL-EQ,MFSL,MFSL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NBCC,NSE,CASH,EQUITY,31415,NBCC-EQ,NBCC,NBCC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_DLF,NSE,CASH,EQUITY,14732,DLF-EQ,DLF,DLF.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_IDFCFIRSTB,NSE,CASH,EQUITY,11184,IDFCFIRSTB-EQ,IDFCFIRSTB,IDFCFIRSTB.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MOTHERSON-D1,NSE,CASH,EQUITY,25510,MOTHERSON-D1,MOTHERSON-D1,MOTHERSON-D1.NS,INVALID,2026-05-16,True,YAHOO,
EQ_NSE_ADANIGREEN,NSE,CASH,EQUITY,3563,ADANIGREEN-EQ,ADANIGREEN,ADANIGREEN.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PAGEIND,NSE,CASH,EQUITY,14413,PAGEIND-EQ,PAGEIND,PAGEIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_RVNL,NSE,CASH,EQUITY,9552,RVNL-EQ,RVNL,RVNL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_INDIANB,NSE,CASH,EQUITY,14309,INDIANB-EQ,INDIANB,INDIANB.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ITC,NSE,CASH,EQUITY,1660,ITC-EQ,ITC,ITC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_GAIL,NSE,CASH,EQUITY,4717,GAIL-EQ,GAIL,GAIL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PFC,NSE,CASH,EQUITY,14299,PFC-EQ,PFC,PFC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ALKEM,NSE,CASH,EQUITY,11703,ALKEM-EQ,ALKEM,ALKEM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ASIANPAINT,NSE,CASH,EQUITY,236,ASIANPAINT-EQ,ASIANPAINT,ASIANPAINT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PGEL,NSE,CASH,EQUITY,25358,PGEL-EQ,PGEL,PGEL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_UNITDSPR,NSE,CASH,EQUITY,10447,UNITDSPR-EQ,UNITDSPR,UNITDSPR.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CANBK,NSE,CASH,EQUITY,10794,CANBK-EQ,CANBK,CANBK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LICHSGFIN,NSE,CASH,EQUITY,1997,LICHSGFIN-EQ,LICHSGFIN,LICHSGFIN.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_KFINTECH,NSE,CASH,EQUITY,13359,KFINTECH-EQ,KFINTECH,KFINTECH.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BAJAJHLDNG,NSE,CASH,EQUITY,305,BAJAJHLDNG-EQ,BAJAJHLDNG,BAJAJHLDNG.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HAL,NSE,CASH,EQUITY,2303,HAL-EQ,HAL,HAL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SRF,NSE,CASH,EQUITY,3273,SRF-EQ,SRF,SRF.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SYNGENE,NSE,CASH,EQUITY,10243,SYNGENE-EQ,SYNGENE,SYNGENE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CIPLA,NSE,CASH,EQUITY,694,CIPLA-EQ,CIPLA,CIPLA.NS,VALID,2026-05-16,True,YAHOO,
